model,source,task,binary_f1,macro_binary,macro18,macro_kplus1,acc
M4 Late Fusion,Paper baseline,18-class gesture + BFRB reduction,0.9311320754716981,,0.4849561710605415,0.39489398690277133,0.468999386126458
M5 Intermediate Fusion,Paper baseline,18-class gesture + BFRB reduction,0.9139934913993492,,0.4269823139853021,0.3491177834425598,0.3953345610804174
Transformer,New NLP model,Binary BFRB text classification,0.9071883530482256,0.8573677614297732,,,
M6 FFT Random Forest,Paper baseline,18-class gesture + BFRB reduction,0.9066788655077768,,0.3812467576590531,0.3611722034957178,0.42786985880908535
M1 FFT-MLP all,Paper baseline,18-class gesture + BFRB reduction,0.9061913696060038,,0.42453963466370087,0.3617616311785637,0.42480049109883367
M2 FFT-MLP IMU+THM,Paper baseline,18-class gesture + BFRB reduction,0.9052729818012133,,0.40603917731152506,0.3081737756964001,0.3769183548189073
M3 CNN-BiLSTM TOF,Paper baseline,18-class gesture + BFRB reduction,0.8918128654970761,,0.3095704525448139,0.33229022440807027,0.3738489871086556
